"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SAOUHSC_00001",74.1159939858057,-0.331309173838634,0.411872398040259,-0.804397612986558,0.42116737931309,0.781896479464825
"gene-SAOUHSC_00002",78.9830474683046,0.0771700809998867,0.398062306717457,0.193864326507714,0.846282117050881,0.969807819925287
"gene-SAOUHSC_00003",25.3574091378342,0.0965990051891006,0.509478864441485,0.189603557539128,0.849619799269341,0.970926626165019
"gene-SAOUHSC_00004",675.389276078744,-0.0856980857499834,0.410213907504118,-0.208910727262759,0.834517929786568,0.965119250257014
"gene-SAOUHSC_00005",1032.47967906358,-0.0981125927964902,0.278936874981817,-0.351737620932642,0.725035043801757,0.932123178187634
"gene-SAOUHSC_00006",1327.84323533104,-0.190223926087854,0.320924568531772,-0.592737187302696,0.553357050146253,0.871558539166035
"gene-SAOUHSC_00007",23.3861539377615,1.1206329832517,0.354859779679265,3.15795998144554,0.00158877366497509,0.0544684571475628
"gene-SAOUHSC_00008",71.2195463198924,0.804737277111728,0.458330316907665,1.75580197823538,0.0791222265025527,0.412036506115825
"gene-SAOUHSC_00009",209.461349750826,-0.135935503713892,0.553527543019445,-0.24558037884145,0.806007079576477,0.959457884973363
"gene-SAOUHSC_00010",21.2238865301278,-2.38955176700637,0.628702504192213,-3.80076705766678,0.000144248859749843,0.0148359952252714
"gene-SAOUHSC_00012",23.2307438891146,-2.63911246290291,0.72666833100797,-3.63179782341988,0.000281453591595677,0.025171740778796
"gene-SAOUHSC_00013",32.3964400591711,-1.20845213915476,0.544066980016092,-2.22114589479224,0.0263410813983241,0.25585314284156
"gene-SAOUHSC_00014",47.4347407945454,-0.0620631271432022,0.270102335403026,-0.229776344031222,0.818265567658953,0.96242439083899
"gene-SAOUHSC_00015",270.538504904589,0.275006535194869,0.250485201468168,1.09789533905785,0.272250193467806,0.670051199402049
"gene-SAOUHSC_00017",59.7183705198928,0.917440293808202,0.371426863990768,2.47004291491152,0.0135096844059398,0.191699367684744
"gene-SAOUHSC_00018",409.827551765812,-0.345673290415978,0.243177683502691,-1.42148442832811,0.155175977326799,0.541011839595297
"gene-SAOUHSC_00019",44.0183833866142,-0.0363093748096512,0.745643422541626,-0.0486953598891623,0.96116207376283,0.99532679523297
"gene-SAOUHSC_00020",220.921488883661,-0.505849565452603,0.56297974271309,-0.89852178875004,0.368907434341202,0.744357360246725
"gene-SAOUHSC_00021",819.273443090057,0.136481084545568,0.392628381951901,0.347608809803994,0.728133989165475,0.933371976307677
"gene-SAOUHSC_00022",1390.58155328809,0.59964639871679,0.322094373964806,1.86171025384725,0.0626439424702167,0.38236970225886
"gene-SAOUHSC_00023",554.544791964655,-0.0939025813655732,0.316858241375114,-0.296355180657606,0.766958849376792,0.948097568009653
