"","SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1"
"gene-SAOUHSC_00001",6.52901679872407,6.58805457254134,6.83767223852321,5.68404550031013,5.58740445826169,5.98583156931464,5.95823245365223,5.4298139371857,5.96818694918123,6.53804270624453,6.70134877285154,7.28950118475733
"gene-SAOUHSC_00002",6.76260792065329,6.94629332020112,6.89361747052784,5.40129258663336,5.32889139248099,6.62268935154655,6.53933012589506,6.42263805085523,6.41706328652585,6.0707029067281,5.92764896880656,6.9256140592356
"gene-SAOUHSC_00003",4.47466519595097,4.68696388841515,5.67111179430572,5.40129258663336,5.52706071480444,4.08019665604862,5.05766975000588,4.72867413215485,5.98689211257313,4.38733059655329,4.76160352567928,4.46150512486553
"gene-SAOUHSC_00004",8.73632866088707,10.2366198613064,10.2106327981283,8.47679794844317,8.3865257932774,9.20376534728485,9.16607338257059,9.85307873678447,9.82645312587391,9.00699302938884,8.94532565272815,9.43410309428007
"gene-SAOUHSC_00005",9.83710110290042,10.4839621604905,10.396144772222,10.05697472761,9.96581507615798,9.44942879835546,9.29096969778991,10.1729078914802,9.9969135068742,9.89069884218834,9.71379189958718,10.49166261007
"gene-SAOUHSC_00006",10.6242962722339,10.7508900080947,10.7464639455256,9.35932989131548,9.30751651285393,10.3152407477419,10.2947795962229,10.7160131408504,10.6979352888663,10.3994157716829,10.349794162553,10.2235010927921
"gene-SAOUHSC_00007",4.99462438742387,5.46248866248985,5.53614748059818,4.90641264741395,4.82197805505293,5.39157941627387,5.46058013030757,4.17259926732473,4.02278736926237,4.67461301734272,4.76160352567928,4.32697597755679
"gene-SAOUHSC_00008",6.33669017196883,6.2013609080069,5.4635284899804,5.99049134715345,5.46403634815468,7.35262251282063,7.59066400417285,5.87613093995194,6.02358415509022,5.80771499966174,6.00258757368375,5.51331847790949
"gene-SAOUHSC_00009",8.95266951969866,7.18891859318329,7.35850627681604,6.7691913104968,6.71349348122254,7.71578624955812,7.87763117341438,8.67452076201789,8.74707409340045,6.70178009968656,6.64025417465044,6.72588435109183
"gene-SAOUHSC_00010",4.11303917001512,2.06878226500577,2.06878226500577,4.50740150369272,4.18339466880845,3.75053003696524,3.97768444283768,4.89992277327502,5.18484091477763,5.62299170513244,6.64025417465044,4.83243280293567
"gene-SAOUHSC_00012",3.28019707271863,3.10442823974499,3.10486155761016,4.74938262595251,4.65994200633931,3.28968107762226,3.07394312994191,4.68231150658749,4.67789185740277,6.44860090386235,6.59266668004061,5.07071510857761
"gene-SAOUHSC_00013",5.37211598758373,5.02998124385936,5.03095334375318,4.29233962370503,4.40870447031796,4.68784800820862,4.74504764525888,4.77352131595192,4.7242072904438,6.70178009968656,6.60870486687838,4.74870290341229
"gene-SAOUHSC_00014",5.87748410995632,5.38595628441403,5.73407749482376,5.71225277986697,5.83114657909404,5.85886068870457,5.85580000358502,5.77155861280293,5.74443349756026,6.11795887107545,6.11937140964301,5.30931139017118
