Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2.fastq.fastqAligned.sortedByCoord.out.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1.fastq.fastqAligned.sortedByCoord.out.bam
gene-SAOUHSC_00001	NC_007795.1	517	1878	+	1362	161	39	47	43	41	52	51	43	67	76	89	472
gene-SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	192	51	49	34	33	85	80	95	95	53	49	361
gene-SAOUHSC_00003	NC_007795.1	3670	3915	+	246	28	8	19	34	39	9	24	23	68	12	18	46
gene-SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	800	531	521	345	334	547	534	1122	1106	454	450	2177
gene-SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	1734	631	593	1048	1015	650	583	1403	1246	844	772	4560
gene-SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3004	760	757	643	640	1191	1177	2049	2032	1204	1204	3782
gene-SAOUHSC_00007	NC_007795.1	9755	10456	-	702	46	16	17	22	21	32	34	13	11	16	18	40
gene-SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	139	29	16	55	37	146	174	62	70	43	52	120
gene-SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	932	61	69	100	99	190	214	490	518	86	85	311
gene-SAOUHSC_00010	NC_007795.1	14722	15417	+	696	19	0	0	15	11	6	8	27	35	37	85	66
gene-SAOUHSC_00012	NC_007795.1	15414	15743	+	330	6	1	1	19	18	3	2	22	22	71	82	82
gene-SAOUHSC_00013	NC_007795.1	16106	17074	+	969	64	11	11	12	14	17	18	24	23	86	83	61
gene-SAOUHSC_00014	NC_007795.1	17365	18303	+	939	97	15	20	44	50	47	47	57	56	55	57	101
gene-SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	417	93	88	375	372	317	315	336	331	200	203	708
gene-SAOUHSC_00017	NC_007795.1	20282	20734	+	453	80	45	46	82	101	44	45	39	57	25	27	186
gene-SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	808	160	124	397	330	386	360	666	622	309	293	2007
gene-SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	38	5	4	113	108	22	20	14	11	53	52	282
gene-SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	1	0	0	0	0	0	0	2	2	1	0	0
gene-SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	1	0	0	0	0	0	0	2	2	0	0	0
gene-SAOUHSC_00020	NC_007795.1	24931	25632	+	702	55	182	185	92	102	123	132	386	393	163	176	1034
gene-SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	989	214	431	469	596	978	1784	786	1213	618	724	2469
gene-SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1199	746	938	1176	1605	1904	2016	1259	1579	717	1123	3258
gene-SAOUHSC_00023	NC_007795.1	28799	29587	+	789	448	331	267	751	525	480	391	604	530	638	511	2197
gene-SAOUHSC_00024	NC_007795.1	29977	30777	+	801	60	14	8	22	18	9	5	11	9	1	0	35
gene-SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	52	3	3	23	18	18	10	14	12	7	7	14
gene-SAOUHSC_00026	NC_007795.1	33555	34034	-	480	1	0	1	0	0	0	0	1	2	1	24	8
gene-SAOUHSC_00027	NC_007795.1	33691	34170	+	480	1	0	1	0	0	3	3	3	3	1	33	11
gene-SAOUHSC_00028	NC_007795.1	34375	34509	-	135	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00029	NC_007795.1	34473	34565	+	93	0	0	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	0	4	3	6	5	4	3	10	8	1	0	0
gene-SAOUHSC_00031	NC_007795.1	36551	37003	-	453	11	4	11	0	0	0	0	6	6	1	2	0
gene-SAOUHSC_00032	NC_007795.1	37019	37120	-	102	0	2	2	0	0	0	0	2	0	0	0	0
gene-SAOUHSC_00033	NC_007795.1	37218	37973	-	756	4	17	20	1	2	3	3	22	24	1	0	14
gene-SAOUHSC_00034	NC_007795.1	37973	38233	-	261	0	9	9	0	0	3	1	17	6	0	0	4
gene-SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	21	18	22	0	0	11	7	29	33	0	0	9
gene-SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	161	133	150	0	1	47	46	353	376	2	1	52
gene-SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	153	114	105	1	72	72	65	246	215	0	0	73
gene-SAOUHSC_00038	NC_007795.1	42281	42382	-	102	0	3	0	0	1	2	0	1	0	0	0	1
gene-SAOUHSC_00039	NC_007795.1	42681	43613	-	933	16	21	16	10	10	14	14	27	21	10	7	22
gene-SAOUHSC_00040	NC_007795.1	43976	44179	+	204	2	1	1	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00041	NC_007795.1	44228	44524	+	297	0	0	1	0	0	0	0	0	0	1	3	0
gene-SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	0	0	0	1	0	3	2	2	0	2	0	5
gene-SAOUHSC_00043	NC_007795.1	45809	46360	-	552	0	0	0	6	6	2	0	0	1	0	0	1
gene-SAOUHSC_00044	NC_007795.1	46473	47333	+	861	0	0	0	6	6	0	1	1	0	0	0	0
gene-SAOUHSC_00045	NC_007795.1	47689	48222	-	534	1	0	0	0	2	0	0	0	0	0	0	0
gene-SAOUHSC_00046	NC_007795.1	48313	49056	+	744	0	0	1	0	0	0	0	0	1	0	0	0
gene-SAOUHSC_00047	NC_007795.1	49490	50092	+	603	1	12	12	12	12	9	8	19	17	5	4	0
gene-SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	2	2	2	4	5	6	4	7	8	0	0	1
gene-SAOUHSC_00050	NC_007795.1	53568	54050	+	483	0	0	0	0	1	0	1	0	1	0	0	0
gene-SAOUHSC_00051	NC_007795.1	54255	55241	+	987	2	0	2	0	0	2	0	4	0	1	0	1
gene-SAOUHSC_00052	NC_007795.1	55462	56232	+	771	0	1	0	0	0	0	0	0	0	0	0	1
gene-SAOUHSC_00053	NC_007795.1	56284	57054	+	771	0	0	0	0	3	0	0	0	0	0	0	0
gene-SAOUHSC_00054	NC_007795.1	57118	57888	+	771	2	1	0	0	0	0	0	0	0	0	0	0
gene-SAOUHSC_00055	NC_007795.1	57955	58722	+	768	6	3	3	0	1	4	6	0	1	0	7	0
gene-SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	52	27	28	16	21	42	42	47	46	55	53	106
gene-SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	64	2	1	6	4	50	50	59	54	20	22	21
gene-SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	144	20	18	27	27	169	168	114	113	67	66	28
gene-SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	237	38	35	139	136	145	143	144	145	149	147	965
gene-SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	337	19	17	130	118	275	272	98	91	27	40	59
gene-SAOUHSC_00062	NC_007795.1	68201	69073	-	873	1	0	0	1	1	1	0	0	0	0	0	0
gene-SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	0	0	0	1	0	0	0	4	1	1	0	1
gene-SAOUHSC_00065	NC_007795.1	70773	71246	+	474	0	2	0	13	11	6	4	16	14	18	8	6
gene-SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	57	9	9	27	26	48	49	33	33	20	19	169
gene-SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	78	14	15	146	150	2	3	25	20	27	27	336
gene-SAOUHSC_00070	NC_007795.1	75400	76152	-	753	12	4	2	57	56	3	4	6	6	3	3	9
gene-SAOUHSC_00071	NC_007795.1	76521	77435	-	915	18	6	3	7	5	8	5	4	4	3	2	24
gene-SAOUHSC_00072	NC_007795.1	77516	78511	-	996	8	2	2	1	1	14	15	4	4	5	6	22
gene-SAOUHSC_00074	NC_007795.1	78527	79519	-	993	1	3	3	4	7	4	5	7	5	3	8	4
gene-SAOUHSC_00075	NC_007795.1	79885	80730	+	846	0	2	1	0	1	0	0	0	1	0	0	2
gene-SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	2	0	0	0	1	0	0	1	1	1	1	3
gene-SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	7	1	0	4	4	9	6	4	3	6	6	26
gene-SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	10	2	0	19	20	11	8	5	6	1	0	19
gene-SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	3	4	1	9	9	20	11	7	0	9	4	58
gene-SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	38	2	3	22	21	9	8	8	49	6	5	45
gene-SAOUHSC_00081	NC_007795.1	88221	88997	+	777	27	1	1	10	1	5	4	23	21	14	16	12
gene-SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	17	5	5	8	8	10	9	9	9	7	7	10
gene-SAOUHSC_00083	NC_007795.1	90203	90967	+	765	2	1	1	4	4	0	1	0	0	0	0	4
